Country,City,Airport name,IATA
Marshall Islands,Mili Island,Mili Island Airport,MIJ
Finland,Mikkeli,Mikkeli Airport,MIK
Australia,Merimbula,Merimbula Airport,MIM
Australia,,Minnipa Airport,MIN
Israel,Beersheba,Ramon Air Base,MIP
Tunisia,Monastir,Monastir Habib Bourguiba International Airport,MIR
Papua New Guinea,Misima Island,Misima Island Airport,MIS
United States of America,Shafter,Shafter Airport - Minter Field,MIT
Nigeria,Maiduguri,Maiduguri International Airport,MIU
United States of America,Millville,Millville Municipal Airport,MIV
Australia,,Mittebah Airport,MIY
Australia,Mainoru,Mainoru Airstrip,MIZ
Madagascar,Manja,Manja Airport,MJA
Marshall Islands,Mejit Atoll,Mejit Atoll Airport,MJB
Ivory Coast,,Man Airport,MJC
Pakistan,Moenjodaro,Moenjodaro Airport,MJD
Marshall Islands,Majkin,Majkin Airport,MJE
Norway,Mosjøen,"Mosjøen Airport, Kjærstad",MJF
Cuba,Mayajigua,Mayajigua Airport,MJG
Libya,Tripoli,Mitiga International Airport,MJI
Papua New Guinea,Moki,Moki Airport,MJJ
Australia,Denham,Shark Bay Airport,MJK
Gabon,Mouila,Mouilla Ville Airport,MJL
Democratic Republic of the Congo,Mbuji Mayi,Mbuji Mayi Airport,MJM
Madagascar,Mahajanga,Amborovy Airport,MJN
Namibia,Mount Etjo Safari Lodge,Mount Etjo Airport,MJO
Australia,,Manjimup Airport,MJP
Argentina,Miramar,Miramar Airport,MJR
Mozambique,Maganja,Maganja da Costa Airport,MJS
Greece,Mytilene,Mytilene International Airport,MJT
Spain,San Javier,San Javier Airport,MJV
Zimbabwe,Gonarezhou National Park,Mahenye Airport,MJW
United States of America,Toms River,Ocean County Airport,MJX
Russia,Motygino,Motygino Airport,MJY
Russia,Mirny,Mirny Airport,MJZ
Gabon,Mekambo,Mekambo Airport,MKB
United States of America,Kansas City,Charles B. Wheeler Downtown Airport,MKC
United States of America,Milwaukee,General Mitchell International Airport,MKE
United States of America,Muskegon,Muskegon County Airport,MKG
Lesotho,Mokhotlong,Mokhotlong Airport,MKH
Central African Republic,Mboki,M'Boki Airport,MKI
Republic of the Congo,Makoua,Makoua Airport,MKJ
United States of America,Kaunakakai,Molokai Airport,MKK
United States of America,Jackson,McKellar-Sipes Regional Airport,MKL
Malaysia,Mukah,Mukah Airport,MKM
Papua New Guinea,Babase Island,Malekolon Airport,MKN
French Polynesia,Makemo,Makemo Airport,MKP
Indonesia,Merauke,Mopah International Airport,MKQ
Australia,,Meekatharra Airport,MKR
Ethiopia,Mekane Selam,Mekane Selam Airport,MKS
Gabon,Makokou,Makokou Airport,MKU
Indonesia,Manokwari,Rendani Airport,MKW
Australia,Mackay,Mackay Airport,MKY
Malaysia,Malacca,Malacca International Airport,MKZ
Malta,Valletta,Malta International Airport,MLA
United States of America,Melbourne,Melbourne Orlando International Airport,MLB
United States of America,Mc Alester,Mc Alester Regional Airport,MLC
Maldives,Malé,Malé International Airport,MLE
Indonesia,Malang,Abdul Rachman Saleh Airport,MLG
United States of America,Moline,Quad City International Airport,MLI
United States of America,Malta,Malta Airport,MLK
United States of America,Marshall,Marshall Don Hunter Sr Airport,MLL
Mexico,Morelia,General Francisco J. Mujica International Airport,MLM
Spain,Melilla,Melilla Airport,MLN
Greece,Milos Island,Milos Airport,MLO
Philippines,Malabang,Malabang Airport,MLP
Papua New Guinea,Malalaua,Malalaua Airport,MLQ
Australia,,Millicent Airport,MLR
United States of America,Miles City,Miles City Airport - Frank Wiley Field,MLS
United States of America,Monroe,Monroe Regional Airport,MLU
Australia,Merluna,Merluna Airport,MLV
Liberia,Monrovia,Spriggs Payne Airport,MLW
Turkey,Malatya,Malatya Erhaç Airport,MLX
United States of America,Manley Hot Springs,Manley Hot Springs Airport,MLY
Uruguay,Melo,Cerro Largo International Airport,MLZ
Japan,Ōzora,Memanbetsu Airport,MMB
Mexico,Ciudad Mante,Ciudad Mante Los Huastecas National Airport,MMC
Japan,Minamidaito,Minamidaito Airport,MMD
United Kingdom,"Darlington, Durham",Teesside International Airport,MME
Cameroon,Mamfe,Mamfe Airport,MMF
Australia,,Mount Magnet Airport,MMG
United States of America,Mammoth Lakes,Mammoth Yosemite Airport,MMH
United States of America,Athens,McMinn County Airport,MMI
Japan,Matsumoto,Shinshu-Matsumoto Airport,MMJ
Russia,Murmansk,Murmansk Airport,MMK
United States of America,Marshall,Southwest Minnesota Regional Airport - Marshall/Ryan Field,MML
Australia,,Middlemount Airport,MMM
Cape Verde,Vila do Maio,Maio Airport,MMO
Zambia,Mbala,Mbala Airport,MMQ
United States of America,Marks,Selfs Airport,MMS
United States of America,Eastover,Mc Entire Joint National Guard Base,MMT
United States of America,Morristown,Morristown Municipal Airport,MMU
Papua New Guinea,Mal Island,Mal Airport,MMV
Sweden,Malmö,Malmö Sturup Airport,MMX
Japan,Miyako City,Miyako Airport,MMY
Afghanistan,Maymana,Maymana Zahiraddin Faryabi Airport,MMZ
Indonesia,Karakelong Island,Melangguane Airport,MNA
Democratic Republic of the Congo,Muanda,Muanda Airport,MNB
Mozambique,Nacala,Nacala Airport,MNC
Colombia,Medina,Medina Airport,MND
Australia,Mungeranie,Mungeranie Airport,MNE
Fiji,Mana Island,Mana Island Airport,MNF
Australia,Maningrida,Maningrida Airport,MNG
Oman,Al Masna'ah,Mussanah Airport,MNH
Montserrat,Gerald's Park,John A. Osborne Airport,MNI
Madagascar,Mananjary,Mananjary Airport,MNJ
Kiribati,Maiana,Maiana Airport,MNK
Philippines,Manila (Pasay),Ninoy Aquino International Airport,MNL
United States of America,Menominee,Menominee–Marinette Twin County Airport,MNM
United States of America,Marion,Marion Municipal Airport,MNN
Democratic Republic of the Congo,Manono,Manono Airport,MNO
Australia,,Monto Airport,MNQ
Zambia,Mongu,Mongu Airport,MNR
Zambia,Mansa,Mansa Airport,MNS
United States of America,Minto,Minto Al Wright Airport,MNT
Myanmar,Mawlamyine,Mawlamyine Airport,MNU
Australia,,Macdonald Downs Airport,MNW
Brazil,Manicoré,Manicoré Airport,MNX
Solomon Islands,Stirling Island,Mono Airport,MNY
United States of America,Manassas,Manassas Regional Airport/Harry P. Davis Field,MNZ
Cuba,Moa,Orestes Acosta Airport,MOA
United States of America,Mobile,Mobile Regional Airport,MOB
Brazil,Montes Claros,Mário Ribeiro Airport,MOC
United States of America,Modesto,Modesto City Co-Harry Sham Field,MOD
Myanmar,,Momeik Airport,MOE
Indonesia,Waioti,Frans Xavier Seda Airport,MOF
Myanmar,Mong Hsat,Mong Hsat Airport,MOG
Indonesia,Morowali,Maleo Airport,MOH
Cook Islands,Mitiaro Island,Mitiaro Island Airport,MOI
Suriname,Moengo,Moengo Airstrip,MOJ
Norway,Årø,"Molde Airport, Årø",MOL
Mauritania,Moudjeria,Letfotar Airport,MOM
New Zealand,,Mount Cook Airport,MON
Australia,Moomba,Moomba Airport,MOO
Madagascar,Morondava,Morondava Airport,MOQ
United States of America,Minot,Minot International Airport,MOT
United States of America,Mountain Village,Mountain Village Airport,MOU
Australia,Moranbah,Moranbah Airport,MOV
French Polynesia,Moorea-Maiao,Moorea Temae Airport,MOZ
Namibia,Mpacha,Katima Mulilo Airport,MPA
Indonesia,Muko Muko,Muko Muko Airport,MPC
Pakistan,Sindhri,Sindhri Tharparkar Airport,MPD
Papua New Guinea,Mapoda,Mapoda Airport,MPF
Papua New Guinea,Makini,Makini Airport,MPG
Philippines,Caticlan,Godofredo P. Ramos Airport,MPH
Panama,Mamitupu,Mamitupu Airport,MPI
France,Montpellier/Méditerranée,Montpellier-Méditerranée Airport,MPL
Mozambique,Maputo,Maputo Airport,MPM
Falkland Islands,Mount Pleasant,Mount Pleasant Airport,MPN
Panama,Mulatupo,Mulatupo Airport,MPP
East Timor,Maliana,Maliana Airport,MPT
Papua New Guinea,Tatau Island,Mapua(Mabua) Airport,MPU
United States of America,Barre/Montpelier,Edward F Knapp State Airport,MPV
Ukraine,Mariupol,Mariupol International Airport,MPW
Papua New Guinea,Miyanmin,Miyanmin Airport,MPX
French Guiana,Maripasoula,Maripasoula Airport,MPY
United States of America,Mount Pleasant,Mount Pleasant Municipal Airport,MPZ
Australia,Mandora,Mandora Airport,MQA
United States of America,Macomb,Macomb Municipal Airport,MQB
Saint Pierre and Miquelon,Miquelon,Miquelon Airport,MQC
Argentina,Maquinchao,Maquinchao Airport,MQD
Australia,Marqua,Marqua Airport,MQE
Russia,Magnitogorsk,Magnitogorsk International Airport,MQF
Namibia,Midgard,Midgard Airport,MQG
Brazil,Minaçu,Minaçu Airport,MQH
Russia,Khonuu,Moma Airport,MQJ
Bolivia,San Matías,San Matías Airport,MQK
Australia,Mildura,Mildura Airport,MQL
Turkey,Mardin,Mardin Airport,MQM
Norway,Mo i Rana,"Mo i Rana Airport, Røssvoll",MQN
Papua New Guinea,Malam,Malam Airport,MQO
South Africa,Mpumalanga,Kruger Mpumalanga International Airport,MQP
Chad,Moundou,Moundou Airport,MQQ
Saint Vincent and the Grenadines,Mustique Island,Mustique Airport,MQS
United States of America,Gwinn,Marquette/Sawyer International Airport,MQT
Colombia,Mariquita,Mariquita Airport,MQU
Algeria,Sayada,Mostaganem Airport,MQV
Ethiopia,Mekelle,Alula Aba Nega Airport,MQX
United States of America,Smyrna,Smyrna Airport,MQY
Australia,,Margaret River Airport,MQZ
Libya,Misrata,Misrata International Airport,MRA
United States of America,Martinsburg,Eastern WV Regional Airport/Shepherd Field,MRB
United States of America,Columbia/Mount Pleasant,Maury County Airport,MRC
Venezuela,Mérida,Alberto Carnevalli Airport,MRD
Kenya,Masai Mara,Mara Serena Lodge Airstrip,MRE
United States of America,Marfa,Marfa Municipal Airport,MRF
Australia,Mareeba,Mareeba Airport,MRG
Papua New Guinea,May River,May River Airstrip,MRH
United States of America,Anchorage,Merrill Field,MRI
United States of America,Marco Island,Marco Island Executive Airport,MRK
Papua New Guinea,Manari,Manari Airport,MRM
New Zealand,Masterton,Hood Airport,MRO
Australia,Marla,Marla Airport,MRP
Philippines,Gasan,Marinduque Airport,MRQ
Ecuador,Macará,Jose Maria Velasco Ibarra Airport,MRR
France,"Marignane, Bouches-du-Rhône",Marseille Provence Airport,MRS
Mauritius,Plaine Magnien,Sir Seewoosagur Ramgoolam International Airport,MRU
Russia,Mineralnyye Vody,Mineralnyye Vody Airport,MRV
Denmark,Rødby,Lolland Falster Maribo Airport,MRW
Iran,Mahshahr,Mahshahr Airport,MRX
United States of America,Monterey,Monterey Peninsula Airport,MRY
Australia,Moree,Moree Airport,MRZ
Canada,Muskrat Dam,Muskrat Dam Airport,MSA
United States of America,Mesa,Falcon Field,MSC
Oman,Masirah,RAFO Masirah,MSH
Indonesia,Masalembo Island,Masalembo Airport,MSI
Japan,Misawa,Misawa Airport / Misawa Air Base,MSJ
United States of America,Muscle Shoals,Northwest Alabama Regional Airport,MSL
Democratic Republic of the Congo,Masi Manimba,Masi Manimba Airport,MSM
United States of America,Madison,Dane County Regional Truax Field,MSN
United States of America,Missoula,Missoula International Airport,MSO
United States of America,Minneapolis,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,MSP
Belarus,Minsk,Minsk National Airport,MSQ
Turkey,Muş,Muş Airport,MSR
United States of America,Massena,Massena International Airport Richards Field,MSS
Netherlands,Maastricht,Maastricht Aachen Airport,MST
Lesotho,Maseru,Moshoeshoe I International Airport,MSU
Eritrea,Massawa,Massawa International Airport,MSW
Republic of the Congo,Mossendjo,Mossendjo Airport,MSX
United States of America,New Orleans,Louis Armstrong New Orleans International Airport,MSY
Angola,Moçâmedes,Welwitschia Mirabilis International Airport,MSZ
New Zealand,,Matamata Glider Airport,MTA
Colombia,Montelíbano,Montelibano Airport,MTB
United States of America,Mount Clemens,Selfridge Air National Guard Base Airport,MTC
Australia,,Mount Sanford Station Airport,MTD
Brazil,Monte Alegre,Monte Alegre Airport,MTE
Ethiopia,Mizan Teferi,Mizan Teferi Airport,MTF
Brazil,Vila Bela Da Santíssima Trindade,Vila Bela da Santíssima Trindade Airport,MTG
United States of America,Marathon,The Florida Keys Marathon Airport,MTH
Cape Verde,Vila do Mosteiros,Mosteiros Airport,MTI
United States of America,Montrose,Montrose Regional Airport,MTJ
Kiribati,Makin Island,Makin Island Airport,MTK
Australia,,Maitland Airport,MTL
United States of America,Baltimore,Martin State Airport,MTN
United States of America,Mattoon,Coles County Memorial Airport,MTO
United States of America,Montauk,Montauk Airport,MTP
Australia,,Mitchell Airport,MTQ
Colombia,Montería,Los Garzones Airport,MTR
Eswatini,Manzini,Matsapha Airport,MTS
Mexico,Cosoleacaque,Minatitlán/Coatzacoalcos International Airport,MTT
Mozambique,Montepuez,Montepuez Airport,MTU
Vanuatu,Ablow,Mota Lava Airport,MTV
United States of America,Fairbanks,Metro Field,MTX
Mexico,Monterrey,Monterrey International Airport,MTY
Israel,Masada,Bar Yehuda Airfield,MTZ
Solomon Islands,Munda,Munda Airport,MUA
Botswana,Maun,Maun Airport,MUB
Germany,Munich,Munich Airport,MUC
Mozambique,Mueda,Mueda Airport,MUD
United States of America,Waimea (Kamuela),Waimea Kohala Airport,MUE
Mexico,Mulege,Mulege Airport,MUG
Egypt,Marsa Matruh,Marsa Matruh International Airport,MUH
United States of America,Fort Indiantown Gap(Annville),Muir Army Air Field (Fort Indiantown Gap) Airport,MUI
Ethiopia,Omo National Park,Mui River Airport,MUJ
Cook Islands,Mauke Island,Mauke Airport,MUK
Kenya,Mumias,Mumias Airport,MUM
Venezuela,Maturín,Maturín Airport,MUN
United States of America,Mountain Home,Mountain Home Air Force Base,MUO
Australia,,Mulga Park Airport,MUP
Australia,Muccan Station,Muccan Station Airport,MUQ
Malaysia,Marudi,Marudi Airport,MUR
Japan,Ogasawara,JMSDF Minami Torishima Air Base,MUS
Brazil,Maraú,Barra Grande Airport,MUU
Algeria,Ghriss,Ghriss Airport,MUW
Pakistan,Multan,Multan International Airport,MUX
Republic of the Congo,Mouyondzi,Mouyondzi Airport,MUY
Tanzania,Musoma,Musoma Airport,MUZ
Iceland,Myvatn,Reykjahlíð Airport,MVA
Gabon,Franceville,M'Vengue El Hadj Omar Bongo Ondimba International Airport,MVB
United States of America,Monroeville,Monroe County Aeroplex Airport,MVC
Uruguay,Ciudad de la Costa,Carrasco General Cesáreo L. Berisso International Airport,MVD
Brazil,Mossoró,Dix-Sept Rosado Airport,MVF
Australia,Mulka,Mulka Airport,MVK
United States of America,Morrisville,Morrisville-Stowe State Airport,MVL
Chad,Mongo,Mongo Airport,MVO
Colombia,Mitú,Fabio Alberto Leon Bentley Airport,MVP
Belarus,Mogilev,Mogilev Airport,MVQ
Cameroon,Maroua,Salak Airport,MVR
Brazil,Mucuri,Mucuri Airport,MVS
French Polynesia,,Mataiva Airport,MVT
Australia,Musgrave,Musgrave Airport,MVU
France,Megève,Megève Altiport,MVV
United States of America,Burlington,Skagit Regional Airport,MVW
Gabon,Minvoul,Minvoul Airport,MVX
United States of America,Martha's Vineyard,Martha's Vineyard Airport,MVY
Zimbabwe,Masvingo,Masvingo International Airport,MVZ
United States of America,Marion,Veterans Airport of Southern Illinois,MWA
Australia,,Morawa Airport,MWB
United States of America,Milwaukee,Lawrence J Timmerman Airport,MWC
Pakistan,Mianwali,Mianwali Air Base,MWD
Sudan,Merowe,Merowe Airport,MWE
Vanuatu,Maewo Island,Maewo-Naone Airport,MWF
Papua New Guinea,Marawaka,Marawaka Airport,MWG
United States of America,Moses Lake,Grant County International Airport,MWH
Papua New Guinea,Maramuni,Maramuni Airport,MWI
Guyana,Matthews Ridge,Matthews Ridge Airport,MWJ
United States of America,Mineral Wells,Mineral Wells Regional Airport,MWL
Tanzania,Mwadui,Mwadui Airport,MWN
United States of America,Middletown,Middletown Regional Airport,MWO
Nepal,Mountain,Mountain Airport,MWP
Myanmar,Magway,Magway Airport,MWQ
South Africa,Motswari Private Game Reserve,Motswari Airport,MWR
Indonesia,Morowali,Indonesia Morowali Industrial Park (IMIP) Airport,MWS
Australia,Moolawatana Station,Moolawatana Airport,MWT
South Korea,Muan (Piseo-ri),Muan International Airport,MWX
Tanzania,Mwanza,Mwanza Airport,MWZ
Indonesia,Masamba,Andi Jemma Airport,MXB
United States of America,Monticello,Monticello Airport,MXC
Australia,Marion Downs,Marion Downs Airport,MXD
United States of America,Montgomery,Maxwell Air Force Base,MXF
Papua New Guinea,Moro,Moro Airport,MXH
Philippines,Mati,Mati National Airport,MXI
Nigeria,Minna,Minna Airport,MXJ
Papua New Guinea,Mindik,Mindik Airport,MXK
Mexico,Mexicali,Aeropuerto Internacional Gral. Rodolfo Sánchez Taboada,MXL
Madagascar,Morombe,Morombe Airport,MXM
France,Morlaix/Ploujean,Morlaix-Ploujean Airport,MXN
Italy,Ferno (VA),Milan Malpensa International Airport,MXP
Ukraine,Myrhorod,Myrhorod Air Base,MXR
Samoa,Maota,Maota Airport,MXS
Madagascar,Maintirano,Maintirano Airport,MXT
Australia,,Mullewa Airport,MXU
Mongolia,Mörön,Mörön Airport,MXV
Mongolia,Mandalgobi,Mandalgobi Airport,MXW
Sweden,Mora,Mora Airport,MXX
United States of America,Mccarthy,Mc Carthy Airport,MXY
China,Meizhou (Meixian),Meizhou Meixian Changgangji International Airport,MXZ
Australia,Moruya,Moruya Airport,MYA
Gabon,Mayumba,Mayumba Airport,MYB
Venezuela,Maracay,Escuela Mariscal Sucre Airport,MYC
Kenya,Malindi,Malindi Airport,MYD
Japan,Miyakejima,Miyakejima Airport,MYE
United States of America,San Diego,Montgomery-Gibbs Executive Airport,MYF
Bahamas,Abrahams Bay,Mayaguana Airport,MYG
Australia,Murray Island,Murray Island Airport,MYI
Japan,Matsuyama,Matsuyama Airport,MYJ
United States of America,May Creek,May Creek Airport,MYK
United States of America,McCall,McCall Municipal Airport,MYL
Guyana,Monkey Mountain,Monkey Mountain Airport,MYM
Yemen,Marib,Marib Airport,MYN
Turkmenistan,Mary,Mary International Airport,MYP
India,Mysore,Mysore Airport,MYQ
United States of America,Myrtle Beach,Myrtle Beach International Airport,MYR
Ethiopia,Moyale,Moyale Airport,MYS
Myanmar,Myitkyina,Myitkyina Airport,MYT
United States of America,Mekoryuk,Mekoryuk Airport,MYU
United States of America,Marysville,Yuba County Airport,MYV
Tanzania,Mtwara,Mtwara Airport,MYW
Papua New Guinea,Menyamya,Menyamya Airport,MYX
Malaysia,Miri,Miri Airport,MYY
Malawi,Monkey Bay,Monkey Bay Airport,MYZ
Peru,Mazamari,Mayor PNP Nancy Flores Paucar Airport,MZA
Mozambique,Mocímboa da Praia,Mocímboa da Praia Airport,MZB
Gabon,Mitzic,Mitzic Airport,MZC
Ecuador,Santiago de Méndez,Méndez Airport,MZD
Belize,,Manatee Airport,MZE
Taiwan,Huxi,Penghu Magong Airport,MZG
Turkey,Amasya,Amasya Merzifon Airport,MZH
Mali,Sévaré,Mopti Ambodédjo International Airport,MZI
United States of America,Marana,Pinal Airpark,MZJ
Kiribati,Marakei,Marakei Airport,MZK
Colombia,Manizales,La Nubia Airport,MZL
Cuba,Manzanillo,Sierra Maestra International Airport,MZO
New Zealand,,Motueka Airport,MZP
South Africa,Mkuze,Mkuze Airport,MZQ
Afghanistan,Mazar-i-Sharif,Mazar-i-Sharif International Airport,MZR
India,Moradabad,Moradabad Airport,MZS
Mexico,Mazatlàn,General Rafael Buelna International Airport,MZT
India,Muzaffarpur,Muzaffarpur Airport,MZU
Malaysia,Mulu,Mulu Airport,MZV
Algeria,Mecheria,Mecheria Airport,MZW
South Africa,Mossel Bay,Mossel Bay Airport,MZY
United States of America,Marion,Marion Municipal Airport,MZZ
Australia,Narrabri,Narrabri Airport,NAA
Australia,,Naracoorte Airport,NAC
Colombia,Macanal,Macanal Airport,NAD
Benin,Natitingou,Natitingou Airport,NAE
Indonesia,Banaina-Borneo Island,Banaina Airport,NAF
India,Nagpur,Dr. Babasaheb Ambedkar International Airport,NAG
Indonesia,Tahuna-Sangihe Island,Naha Airport,NAH
Guyana,Annai,Annai Airport,NAI
Azerbaijan,Nakhchivan,Nakhchivan Airport,NAJ
Thailand,Chaloem Phra Kiat,Nakhon Ratchasima Airport,NAK
Russia,Nalchik,Nalchik Airport,NAL
Indonesia,Namniwel,Namniwel Airport,NAM
Fiji,Nadi,Nadi International Airport,NAN
China,Nanchong (Gaoping),Nanchong Gaoping Airport,NAO
Italy,Napoli,Naples International Airport,NAP
Greenland,Qaanaaq,Qaanaaq Airport,NAQ
Colombia,Armenia,Puerto Nare Airport,NAR
